modelname,trainacc,testacc,watermark_retention
mnist_baseline,99.81,99.58,8.00
mnist_scratch_baseline,99.51,99.25,10.00
mnist_watermarked,99.56,99.47,100.00
mnist_scratch_watermarked,99.48,99.20,100.00
mnist_ftll_attacked,99.81,99.54,93.00
mnist_scratch_ftll_attacked,99.52,99.06,92.00
mnist_ftal_attacked,99.95,99.54,98.00
mnist_scratch_ftal_attacked,99.84,99.38,70.00
mnist_rtll_attacked,99.69,99.47,32.00
mnist_scratch_rtll_attacked,90.31,90.15,35.00
mnist_rtal_attacked,97.58,97.80,11.00
mnist_scratch_rtal_attacked,98.31,98.41,13.00
fashionmnist_baseline,95.92,93.41,11.00
fashionmnist_scratch_baseline,92.99,91.25,11.00
fashionmnist_watermarked,95.73,93.57,100.00
fashionmnist_scratch_watermarked,92.97,91.33,97.00
fashionmnist_ftll_attacked,96.28,93.66,92.00
fashionmnist_scratch_ftll_attacked,93.22,91.19,92.00
fashionmnist_ftal_attacked,97.94,94.24,76.00
fashionmnist_scratch_ftal_attacked,94.87,92.33,45.00
fashionmnist_rtll_attacked,96.02,93.49,41.00
fashionmnist_scratch_rtll_attacked,93.19,91.55,87.00
fashionmnist_rtal_attacked,86.80,85.83,9.00
fashionmnist_scratch_rtal_attacked,83.47,82.50,7.00
